KodePajak;KodeTransaksi;KodeStatus;KodeDokumen;FlagVAT;NPWP / Nomor Paspor;Lawan Transaksi;Nomor Faktur / Dokumen;Jenis Dokumen;Nomor Faktur Pengganti / Retur;Jenis Dokumen Dokumen Pengganti / Retur;Tanggal Faktur / Dokumen;TanggalSSP;MasaPajak;TahunPajak;Pembetulan;DPP;PPN;PPnBM
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04497257;0;;;10/07/2013;;0707;2013;1;445179;44521;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04525803;0;;;25/07/2013;;0707;2013;1;2598407;259843;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04525802;0;;;25/07/2013;;0707;2013;1;4220544;422056;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04537740;0;;;31/07/2013;;0707;2013;1;3129499;312951;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04537741;0;;;31/07/2013;;0707;2013;1;1222225;122225;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04537739;0;;;31/07/2013;;0707;2013;1;2795770;279580;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04537738;0;;;31/07/2013;;0707;2013;1;3121545;312155;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16061372;0;;;25/07/2013;;0707;2013;1;4143840;414384;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16061548;0;;;26/07/2013;;0707;2013;1;1631055;163105;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16061079;0;;;19/07/2013;;0707;2013;1;2173770;217377;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16061062;0;;;19/07/2013;;0707;2013;1;2571470;257147;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16060170;0;;;10/07/2013;;0707;2013;1;465600;46560;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16060237;0;;;11/07/2013;;0707;2013;1;3011850;301185;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16059588;0;;;08/07/2013;;0707;2013;1;2985660;298566;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16059613;0;;;04/07/2013;;0707;2013;1;1325990;132599;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16059612;0;;;04/07/2013;;0707;2013;1;2688840;268884;0
B;2;1;1;0;018852632007000;PT. UNIRAMA DUTA NIAGA;010.901-13.16059429;0;;;09/07/2013;;0707;2013;1;2945793;294579;0
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45086414;0;;;04/07/2013;;0707;2013;1;1111406;111141;0
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45086614;0;;;05/07/2013;;0707;2013;1;1165104;116510;0
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45086280;0;;;01/07/2013;;0707;2013;1;495864;49586;0
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45086983;0;;;10/07/2013;;0707;2013;1;2092377;209238;0
